[2026-02-15 20:01:40] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115681TN.pdf  
[2026-02-15 20:01:41] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115682TN.pdf  
[2026-02-15 20:01:41] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115683TN.pdf  
[2026-02-15 20:01:41] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115684TN.pdf  
[2026-02-15 20:01:41] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115685TN.pdf  
[2026-02-15 20:01:41] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115686TN.pdf  
[2026-02-15 20:01:41] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115687TN.pdf  
[2026-02-15 20:01:41] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115688TN.pdf  
[2026-02-15 20:01:41] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115689TN.pdf  
[2026-02-15 20:01:42] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115690TN.pdf  
[2026-02-15 20:01:42] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115691TN.pdf  
